,omm_id,hydro_year,helio,hr,nub,pres_est,pres_nm,td,tmax,tmed,tmin,vmax_d,vmax_f,vmed,caudal,PTA,PMDA
73,87349,1971,7.710958904109589,55.89890710382514,3.9508196721311477,974.2568306010929,,8.729234972677595,25.706830601092896,19.432513661202186,11.47568306010929,19.06830601092896,3.8327868852459015,2.151639344262295,,445.5,36.4
74,87349,1972,7.106593406593407,67.01369863013699,4.682191780821918,974.4528767123287,,10.716164383561644,23.216438356164385,17.872054794520547,11.122739726027397,17.454794520547946,3.8347945205479452,2.1531506849315067,,1113.1,77.0
75,87349,1973,7.882417582417582,64.14246575342466,3.9534246575342467,975.4958904109589,,9.989863013698631,23.564657534246578,17.905479452054795,10.82027397260274,18.495890410958904,4.511780821917808,2.5945205479452054,,590.6,83.6
76,87349,1974,7.653591160220994,63.293150684931504,3.882191780821918,975.026301369863,,9.612602739726027,23.65945205479452,17.956986301369863,10.884383561643837,20.575342465753426,4.519726027397261,2.66027397260274,,789.5,124.5
77,87349,1975,8.08839590443686,62.00819672131148,3.622950819672131,975.2095628415301,1013.4151315789474,9.363387978142077,23.7844262295082,17.963387978142077,10.388524590163934,19.685792349726775,4.0688524590163935,2.33551912568306,,620.1,47.1
78,87349,1976,7.822903225806451,64.13972602739726,4.13972602739726,974.9476712328768,1013.9931506849315,10.014520547945207,23.580547945205478,17.894794520547947,10.927123287671233,21.172602739726027,4.307397260273973,2.244931506849315,,1038.9,110.2
79,87349,1977,7.740952380952381,66.69041095890411,4.043835616438356,975.0446575342465,1013.9928767123288,11.333424657534247,24.151780821917807,18.611780821917808,11.724109589041097,21.356164383561644,4.554794520547945,2.271780821917808,,1263.7,89.0
80,87349,1978,7.604931506849316,67.47945205479452,4.3780821917808215,975.6090410958903,1014.6619178082191,10.89972602739726,23.462739726027397,17.90027397260274,11.098356164383562,20.34794520547945,4.713972602739727,2.270684931506849,,1067.1,87.0
81,87349,1979,7.0471875,67.17213114754098,4.4890710382513666,974.8065573770492,1013.7267759562842,11.525409836065574,24.160109289617488,18.67896174863388,12.000819672131149,21.415300546448087,4.742076502732241,2.423013698630137,,972.4,45.5
82,87349,1980,7.245753424657534,65.41917808219178,4.156164383561644,975.3326027397261,1014.3597260273972,10.561643835616438,23.818956043956046,18.216438356164385,11.355342465753424,22.46301369863014,4.997808219178082,2.5391780821917806,,1160.9,92.7
83,87349,1981,7.86054794520548,65.62087912087912,3.9615384615384617,975.8684065934066,1014.9219780219779,10.652747252747252,23.970604395604393,18.05054945054945,10.886849315068492,23.34794520547945,4.658904109589041,2.2326923076923078,,686.2,49.1
84,87349,1982,6.5758241758241756,66.06301369863014,4.841095890410959,974.226301369863,1013.1931506849315,10.852054794520548,23.7413698630137,18.32109589041096,11.913698630136986,24.54794520547945,5.126849315068493,2.452054794520548,,901.5,77.8
85,87349,1983,7.152717391304347,64.72677595628416,3.9153005464480874,975.0767759562841,1014.2956284153006,10.34016393442623,24.03169398907104,18.06393442622951,11.091530054644808,24.60928961748634,4.451639344262295,2.2224043715846995,,826.6,80.0
